Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
SUSPECT,@abdulziz_naser,2024-11-20T08:06:35.000Z,False,"Part3 If you actully spent time and effort to see israel history your mind will get changed and i dont say this cus i am a hater nah i think the leaders are the wrong but their people didnt think even once for not following their bad actions
Dont worry all of parts will end pt4->",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1626841855923986433/mXFoQjeB_bigger.jpg,https://x.com/abdulziz_naser/status/1859146304976277726,tweet_id:1859146304976277726
Sean Rovaldi,@ThePurpleGooroo,2024-11-20T08:06:32.000Z,False,"Same. I used to really like Radiohead as well, but yeah, ignoring a genocide and continually playing in Israel is a deal-breaker.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1584637775512539136/sXEG82lE_bigger.jpg,https://x.com/ThePurpleGooroo/status/1859146293844533738,tweet_id:1859146293844533738
BIG MICHELADA,@finessekraken,2024-11-20T08:06:32.000Z,False,Nobody in congress wants to admit that AIPAC is to blame for American policy in israel/Palestine. Same for Ukraine/Russia.,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1818164579924402176/13BbppE3_bigger.jpg,https://x.com/finessekraken/status/1859146292393365681,tweet_id:1859146292393365681
Faris Alami,@FarisAlami,2024-11-20T08:06:31.000Z,True,"In-depth: Israeli tenders for gas exploration off Gaza's coast violate international law and amount to de facto annexation of Palestinian maritime areas.

Source: The New Arab",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1824035256527101952/dmx7e_Lv_bigger.jpg,https://x.com/FarisAlami/status/1859146288693989555,tweet_id:1859146288693989555
osw,@oswahaibi,2024-11-20T08:06:31.000Z,False,"Yet, you are arming Israel and allowing it to continue in their crimes against humanity. 
Here they are blowing up a University in GazaYou are complicit in the genocide happening in Gaza",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1723087835484286976/E8uMbzzd_bigger.jpg,https://x.com/oswahaibi/status/1859146288312287348,tweet_id:1859146288312287348
EnjoyYourBubble,@enjoyyourbubble,2024-11-20T08:06:30.000Z,False,"Yes, in Gaza. Now.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1837348614936412160/GC2s60T6_bigger.jpg,https://x.com/enjoyyourbubble/status/1859146287976693780,tweet_id:1859146287976693780
Sheikh Hizbullah,@hizb67301,2024-11-20T08:06:29.000Z,True,What leverage does israel using against Germany to get their homage.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1780817253711089664/iAuxXLbz_bigger.jpg,https://x.com/hizb67301/status/1859146283191021695,tweet_id:1859146283191021695
Palestine Captives 𓂆,@Palestinecapti1,2024-11-20T08:06:24.000Z,False,"Thamer, who always prepared for being kidnapped during raids on Qabatiya, spent over 10 years in zionist terrorists' prisons, mostly under administrative detention without trial or charge. He is a prominent Palestinian Captives' activist advocating for their rights.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1498760415089680384/bzKJGpI0_bigger.jpg,https://x.com/Palestinecapti1/status/1859146262525997434,tweet_id:1859146262525997434
Dazjackel,@EliasDarre88633,2024-11-20T08:06:24.000Z,False,"No, brother, the snow jobs intended to put it to bed are stuck in the senate.
NACC
NDIS
EPA
SM censorship
Lying to Australia constantly about Israel & Ukraine
Hosuing bills designed to further entrench the profit sector
100 others I can fart in your general direction.",0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1833208323950448641/03fkq71g_bigger.jpg,https://x.com/EliasDarre88633/status/1859146259132805368,tweet_id:1859146259132805368
FCK SC,@WestwoodColcho,2024-11-20T08:06:23.000Z,False,"Nvm why am I arguing with you if you think this is ok  surprised you’re pro Palestine with that kind of single mindedness, it appears even a broken clock is right twice a day",0,0,0,0,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1858737648766197760/skMfYWFV_bigger.jpg,https://x.com/WestwoodColcho/status/1859146258100953122,tweet_id:1859146258100953122
حاتم 𣎴,@Jed_80s,2024-11-20T08:06:22.000Z,False,Come on! The west believes that african are jews and support them them commenting genocide against the indigenous people of Palestine!,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1729541598168412160/ojAUf3HC_bigger.jpg,https://x.com/Jed_80s/status/1859146252958433310,tweet_id:1859146252958433310
Palestine Captives 𓂆,@Palestinecapti1,2024-11-20T08:06:22.000Z,False," Thamer Sabaaneh, a Palestinian activist, writer, and academic, has been released after enduring a year and a half in zionist terrorists' torture camps, where he was held without trial or charge.

Alhamdulillah .",0,0,0,0,[],[],['\\u2b55'],https://pbs.twimg.com/profile_images/1498760415089680384/bzKJGpI0_bigger.jpg,https://x.com/Palestinecapti1/status/1859146252719714381,tweet_id:1859146252719714381
AJ Tolstrup,@AjTolstrup48862,2024-11-20T08:06:22.000Z,False,No excuse at all #Gaza ,0,0,0,1,"['#Ga', 'za']",[],['\\U0001f1f5\\U0001f1f8'],https://pbs.twimg.com/profile_images/1842995090689568768/TKqHR46e_bigger.jpg,https://x.com/AjTolstrup48862/status/1859146252639686975,tweet_id:1859146252639686975
groypAF,@natty_dumps,2024-11-20T08:06:22.000Z,False,Now do it with Israel,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1816474928574599169/PwnD6wJY_bigger.jpg,https://x.com/natty_dumps/status/1859146251192742127,tweet_id:1859146251192742127
Missy UK,@backinyerpram,2024-11-20T08:06:19.000Z,False,"Maybe release
the hostages!! ?
British Broadcasting Corporation should not report on Palestine, without a footnote explaining 
7/10 atrocity & 
the 100 hostages, still held. 

Palestinian olive harvest under threat from Israeli attacks and restrictions",0,0,0,2,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1856348377803309056/6ynI95vD_bigger.jpg,https://x.com/backinyerpram/status/1859146241356996989,tweet_id:1859146241356996989
Israel Edem Komla Gabienu,@edemgabby,2024-11-20T08:06:19.000Z,True,I also wish you a fantastic day. Be good and safe.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1600175630838022144/PybcAEP4_bigger.jpg,https://x.com/edemgabby/status/1859146241063456928,tweet_id:1859146241063456928
Ded,@AllisonLucas__,2024-11-20T08:06:19.000Z,False,What about Israel,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1824406908658155520/2flmHzoe_bigger.jpg,https://x.com/AllisonLucas__/status/1859146240933400833,tweet_id:1859146240933400833
robin raptosh,@raraptosh,2024-11-20T08:06:19.000Z,False,BIBI is fabulous. Biden admin (Obama) screwed Israel and Americans,0,0,0,1,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/raraptosh/status/1859146240254243024,tweet_id:1859146240254243024
Apu,@Apuntes_,2024-11-20T08:06:19.000Z,True,"It says Eretz Israel in the coin, as you obviously already know.",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1432911227466838019/8TXMs3zM_bigger.jpg,https://x.com/Apuntes_/status/1859146239947989397,tweet_id:1859146239947989397
seth,@verycoldworld,2024-11-20T08:06:18.000Z,True,Are you living in Palestine?,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1838342878390620160/nr54tLQz_bigger.jpg,https://x.com/verycoldworld/status/1859146237376614737,tweet_id:1859146237376614737
James connor,@JC3674,2024-11-20T08:06:18.000Z,False,Israel is the biggest support of hamas,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1707652674517131264/Kvm0wW6G_bigger.jpg,https://x.com/JC3674/status/1859146235430486157,tweet_id:1859146235430486157
Sinan Ozturk,@SinanOztuk,2024-11-20T08:06:18.000Z,False,Alll son of bcthes are together …,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1843039333248286720/VlobGm1q_bigger.jpg,https://x.com/SinanOztuk/status/1859146235178836096,tweet_id:1859146235178836096
SLMinorityVoice,@SLMinorityVoice,2024-11-20T08:06:13.000Z,True,"#Palestine bravely resisted an illegal and unjustifiable war of aggression against the people under oppression, while world leaders have shown bild eye towards extinction of race by arming the occupation power.",0,0,0,0,['#Palestine'],[],[],https://pbs.twimg.com/profile_images/1515104947653824516/m_LNRziE_bigger.jpg,https://x.com/SLMinorityVoice/status/1859146214882570271,tweet_id:1859146214882570271
David James,@DavidJames27257,2024-11-20T08:06:13.000Z,False,Defender of Israel.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1831677079496134656/lj9mAvJv_bigger.png,https://x.com/DavidJames27257/status/1859146213116756217,tweet_id:1859146213116756217
BasTaVito,@BasTaVito,2024-11-20T08:06:12.000Z,False,She should go to Maui and explain why victims of the Lahaina fire only received $700 while billions were being sent to fund wars in Ukraine and Israel. FFS!  Send her home,0,0,0,5,[],[],['\\U0001f595\\U0001f3fc'],https://pbs.twimg.com/profile_images/1796857669808263168/GsY5CACw_bigger.jpg,https://x.com/BasTaVito/status/1859146209681703195,tweet_id:1859146209681703195
Ward Qasho3,@WQasho316546,2024-11-20T08:06:12.000Z,False,"Yes, but in Gaza, are they a gift from God or does God there disagree with you regarding the children and your faith disappears?",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1727046521961533440/hFAkiZbx_bigger.png,https://x.com/WQasho316546/status/1859146208519884890,tweet_id:1859146208519884890
Erik Pressman,@Erik_Pressman,2024-11-20T08:06:11.000Z,True,"They're not in a ""war zone"" in some random Israeli city just because Israel is bombing and ethnically cleansing the Palestinian territories ",0,0,0,3,[],[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1772786461290405888/PqBUhc_E_bigger.jpg,https://x.com/Erik_Pressman/status/1859146207508996275,tweet_id:1859146207508996275
HH Sunita Marchant,@HHRSMarchant,2024-11-20T08:06:11.000Z,True,"Pakistan, Afghanistan, Iran, Palestine, Israel & many other countries around the world. Humble to get so much love & affection from all of you. It will be a great opportunity to speak with you all & for  to meet his fans.
With love, 
Sunita Marchant#SidharthMalhotra",0,0,0,7,['#SidharthMalhotra'],['@SidMalhotra'],[],https://pbs.twimg.com/profile_images/1858956321954914304/YEad6Ygj_bigger.jpg,https://x.com/HHRSMarchant/status/1859146205600629115,tweet_id:1859146205600629115
Tlv,@talko0909,2024-11-20T08:06:10.000Z,False,"All the cuts he made, Israel added",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1508286967762587652/eNa4WarX_bigger.jpg,https://x.com/talko0909/status/1859146200785596875,tweet_id:1859146200785596875
Abdulahad Joya,@AbdulahadFazly,2024-11-20T08:06:09.000Z,False,BREAKING #CristianoRonaldo has donated more than $2m+ to Gaza authority to help displaced #Palestinians. #FreePalestine,0,0,0,2,"['#CristianoRonaldo', '#Palestinians', '#FreePalestine']",['@Cristiano'],"['\\U0001f525', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1830885249674272768/OfWamxq9_bigger.jpg,https://x.com/AbdulahadFazly/status/1859146197245788281,tweet_id:1859146197245788281
Ilovepalestine,@Luv4Palestine11,2024-11-20T08:06:09.000Z,False,Praying for your safety the world needs you ,0,0,0,2,[],[],"['\\U0001f64f\\U0001f3fd', '\\u2764\\ufe0f', '\\U0001f1f5\\U0001f1f8']",https://pbs.twimg.com/profile_images/1542676667562430465/n57fRlkn_bigger.jpg,https://x.com/Luv4Palestine11/status/1859146196654211508,tweet_id:1859146196654211508
Amr Badran,@BadranAmr,2024-11-20T08:06:09.000Z,False,"Now imagine what the #zionists did when no one watched?

“#YourTaxMoney!”#FreePalestine#StrikeForGaza#Gaza_Genocide",0,0,0,0,"['#zionists', '#YourTaxMoney', '#FreePalestine', '#StrikeForGaza', '#Gaza', '_Genocide']",[],[],https://pbs.twimg.com/profile_images/473708327830958080/sFOFfiRR_bigger.jpeg,https://x.com/BadranAmr/status/1859146195957948665,tweet_id:1859146195957948665
Hucen,@Ra86hU,2024-11-20T08:06:08.000Z,False,Israel is like young puppy dogs in front of our brave soldiers.,0,0,0,5,[],[],"['\\U0001f1f5\\U0001f1f8', '\\U0001fa96', '\\U0001f4aa', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1847497026059268096/7Tzuuxfk_bigger.jpg,https://x.com/Ra86hU/status/1859146194947371344,tweet_id:1859146194947371344
loni,@loni00000,2024-11-20T08:06:07.000Z,False,"Both of you are immensely wrong on this!

I am NOT supporting Pro-Hamas, Pro-Islam, none of it.

I am also NOT saying to fund a war. But I will not sit here and support groups or Islamic terrorists groups that seek to wipe Israel off the map!",0,0,0,1,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/loni00000/status/1859146190362755299,tweet_id:1859146190362755299
Einat,@Einat_P,2024-11-20T08:06:07.000Z,False,"Another proof, among millions others, that everything related to ""Palestine"" is nothing but insidious Islamo-nazi billions dollars decades long scam",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/456511303264116737/6E1sv8-K_bigger.jpeg,https://x.com/Einat_P/status/1859146189725184461,tweet_id:1859146189725184461
Don’t Give Meghan The Mic,@PrayForIsrael26,2024-11-20T08:06:05.000Z,True,How is this developing news? Where is it at?,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1856254400534122496/trpVZ5Dm_bigger.jpg,https://x.com/PrayForIsrael26/status/1859146180845797497,tweet_id:1859146180845797497
John SmithIsrael must prevail,@Unionbuster,2024-11-20T08:06:05.000Z,True,"#Labours legacy will be a broken economy
Blairs was Iraq 
Biden's will be a forever war, or WW3",0,0,0,4,['#Labours'],[],[],https://pbs.twimg.com/profile_images/3780867883/b23e82500bf368d9c2b25459dd01a065_bigger.jpeg,https://x.com/Unionbuster/status/1859146179142938937,tweet_id:1859146179142938937
Shippo,@magnumoppis,2024-11-20T08:05:57.000Z,False,Lebanon is not defending itself because Israel has not attacked it,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1778114862184267776/uv-6DFYD_bigger.jpg,https://x.com/magnumoppis/status/1859146148713218436,tweet_id:1859146148713218436
Noisynana@waratah,Noisynana@waratah,2024-11-20T08:05:56.000Z,False,"The Australian government have sold their soul and 
conscience to their  “valued friends ‘, the genocidal
Zionists . They DO NOT CARE about the loss of human life in Gaza. Unforgivable .",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1390944711792205826/oFLIRQ1m_bigger.jpg,https://x.com/Noisynanawarat1/status/1859146143198048572,tweet_id:1859146143198048572
Steve Monetti,@thirdshiftpoet,2024-11-20T08:05:53.000Z,False,"Forever against the evil that is Islam I stand proud for Israel 
Am Israel Chai!",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1751849900801679360/7RO-ecYR_bigger.jpg,https://x.com/thirdshiftpoet/status/1859146132732993792,tweet_id:1859146132732993792
Sheriff Sully | Free Palestine,@SheriffSully,2024-11-20T08:05:51.000Z,False,"And you mean hate from none South Asians or internal? Because I know Indonesia, Malaysia and Singapore have mad beef with each other.",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1823653737891545088/_htpkM8-_bigger.jpg,https://x.com/SheriffSully/status/1859146122070990883,tweet_id:1859146122070990883
chingchongo,@ted_speck,2024-11-20T08:05:50.000Z,False,"Perhaps, but you better believe Neocon Don and his trusty zi0nist minions will be focusing on Iran and a greater Israel. Aren’t you glad you voted for him?",0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1809776498079051777/_BONb6a4_bigger.jpg,https://x.com/ted_speck/status/1859146118812365127,tweet_id:1859146118812365127
BIG MICHELADA,@finessekraken,2024-11-20T08:05:49.000Z,False,If y'all decide to launch nukes.. can 1 maybe accidently fall on israel please? ,0,0,0,3,[],[],"['\\U0001f923', '\\U0001f602']",https://pbs.twimg.com/profile_images/1818164579924402176/13BbppE3_bigger.jpg,https://x.com/finessekraken/status/1859146113795694878,tweet_id:1859146113795694878
Kollel Guy,@kollel_g,2024-11-20T08:05:49.000Z,True,"Racism? Not at all!
Racism is in Ramallah and Gaza, where no Jew is permitted to enter, both legally and practically. They will get lynched in seconds.

Ask any Frenchman, Brit, or Dutch citizen. Do they want their country to change to Arab culture?
No!
They were happy taking",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1828063168922259456/-XsNlQEV_bigger.jpg,https://x.com/kollel_g/status/1859146112227053925,tweet_id:1859146112227053925
Transform Politics,@tf_politics,2024-11-20T08:05:48.000Z,False,"Palestinians are not just under attack in Gaza.

This is the West Bank.",0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1770724341874917376/WGHHi1gv_bigger.jpg,https://x.com/tf_politics/status/1859146110876438840,tweet_id:1859146110876438840
The Siberian Tiger,@bheki1968,2024-11-20T08:05:47.000Z,False,How about the children in Palestine,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1746619380153139200/i_-Jbiwp_bigger.jpg,https://x.com/bheki1968/status/1859146105260311010,tweet_id:1859146105260311010
Shahab,@ShahabSMoghadam,2024-11-20T08:05:47.000Z,False,Iranians are not murderers and I am not a murderer. They say I'm a fifth column but everybody knows that their loyalty is to Israel. I'm tired of it.,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1828528371460149248/nBV6naVf_bigger.jpg,https://x.com/ShahabSMoghadam/status/1859146104027455659,tweet_id:1859146104027455659
Burn Free,@96470burn,2024-11-20T08:05:44.000Z,False,Israel is (what used to be) palestine.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1724219836128280576/3Wd0uACp_bigger.jpg,https://x.com/96470burn/status/1859146093914882092,tweet_id:1859146093914882092
troy and samantha McGill,@troyandsamanth1,2024-11-20T08:05:44.000Z,False,"I’m all for them supporting Palestine, go over there and help them.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1813743884939493376/iDMT573n_bigger.jpg,https://x.com/troyandsamanth1/status/1859146093038329989,tweet_id:1859146093038329989
Cpt Tom for VideoPlus & a free Palestine,@TomVideoPlus,2024-11-20T08:05:42.000Z,False,I’m no expert but I don’t expect him to be a top 100 player in twelve months.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1799892658682257408/swzEM7-f_bigger.jpg,https://x.com/TomVideoPlus/status/1859146086461358138,tweet_id:1859146086461358138
PK,@Daz_197,2024-11-20T08:05:42.000Z,True,Channel 12 Israel: A report in the Lebanese newspaper A-Diyar on the talks for the agreement: the coming hours will be decisive despite the positiveness expressed by the Speaker of the Lebanese Parliament Nabia Berri and the caution pointed out by the Lebanese Prime Minister,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1826326570442559488/MpohsavM_bigger.jpg,https://x.com/Daz_197/status/1859146085962330344,tweet_id:1859146085962330344
Crypto Whale,@BitcoinArc,2024-11-20T08:05:42.000Z,False,"COIN NAME: DEGEN(USDT)

LEVERAGE: 75xTRADE TYPE: LONGENTRY PRICE (0.02110-0.0205)TAKE-PROFIT",0,0,0,3,"['', '']",[],"['\\U0001f4b5', '\\U0001f53c', '\\U0001f4c8', '\\u2714\\ufe0f', '\\u2604\\ufe0f', '1\\ufe0f\\u20e3', '2\\ufe0f\\u20e3', '3\\ufe0f\\u20e3']",https://pbs.twimg.com/profile_images/1795461199284285440/20cbgeS6_bigger.jpg,https://x.com/BitcoinArc/status/1859146084393623842,tweet_id:1859146084393623842
Donswiftarm,@Donswiftarm,2024-11-20T08:05:37.000Z,False,Stop sending weapons to Israel ,0,0,0,2,[],[],"['\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a', '\\u270a']",https://pbs.twimg.com/profile_images/1352730735749320705/QC9yMPW3_bigger.jpg,https://x.com/Donswiftarm/status/1859146061996056642,tweet_id:1859146061996056642
